Model,Target,Normalised,N_folds,Mean_R2,Std_R2,Median_R2,Mean_RMSE,Std_RMSE,Mean_MAE,Mean_Spearman,Pct_Positive_R2
RF (tuned),particle_size,Z-Normalised,39,0.0019115036742045621,0.0423390954316316,0.00017199515623045336,0.9568393130663433,0.029992105662453923,0.7408184359691019,0.1778670599507861,51.28205128205128
RF (tuned),pdi,Z-Normalised,25,-0.005833954446400149,0.02571338636185744,-0.0018936980236161638,0.922557610076161,0.18798198100590977,0.7460811280969223,0.02076272691055221,28.000000000000004
RF (tuned),ee,Z-Normalised,25,-0.005359124362038905,0.029920310010049547,0.0,0.885812066328195,0.23760830756750898,0.6905905215269422,0.09557355666840514,44.0
RF (tuned),zeta,Z-Normalised,11,-0.018630183400776046,0.0341398235192038,-0.00570876868965331,0.8813884341248727,0.2740952789208759,0.6817809904518791,-0.18416790598137486,18.181818181818183
